"country","id","mayor","metroPopulation","name","population","rank","sameAs"
"Germany","213","Dagmar Szabados",,"Halle","233 thousand","n/r","http://dbpedia.org/resource/Halle_(Saale)"
"China","455","Cui Jie","7.460 thousand","Changchun","3.581 thousand","65","http://dbpedia.org/resource/Changchun"
"China","697","n/k",,"Hechuan","1.530 thousand","207","http://dbpedia.org/resource/Hechuan_District"
"Germany","214","Lutz Tr�mper",,"Magdeburg","230 thousand","n/r","http://dbpedia.org/resource/Magdeburg"
"China","456","Yuan Zhou",,"Guiyang","3.450 thousand","67","http://dbpedia.org/resource/Guiyang"
"China","698","Wu Cunrong","4.867 thousand","Hefei","1.750 thousand","169","http://dbpedia.org/resource/Hefei"
"Germany","215","Dieter Salomon",,"Freiburg","220 thousand","n/r","http://dbpedia.org/resource/Freiburg_im_Breisgau"
"China","457","Cai Qi","6.776 thousand","Hangzhou","3.408 thousand","69","http://dbpedia.org/resource/Hangzhou"
"Finland","699","Jussi Pajunen","1.311 thousand","HELSINKI","583 thousand","577","http://dbpedia.org/resource/Helsinki"
"Germany","216","Klaus Wehling",,"Oberhausen","216 thousand","n/r","http://dbpedia.org/resource/Oberhausen"
"China","458","Zhang Zulin","6.800 thousand","Kunming","3.100 thousand","76","http://dbpedia.org/resource/Kunming"
"Germany","217","Bernd Saxe",,"L�beck","211 thousand","n/r","http://dbpedia.org/resource/L%C3%BCbeck"
"China","459","Liu Huiyan","4.200 thousand","Zibo","2.850 thousand","83","http://dbpedia.org/resource/Zibo"
"Germany","218","Andreas Bausewein",,"Erfurt","203 thousand","n/r","http://dbpedia.org/resource/Erfurt"
"Germany","219","Roland Methling",,"Rostock","201 thousand","n/r","http://dbpedia.org/resource/Rostock"
"China","460","Sun Zhaolin",,"Huludao","2.787 thousand","86","http://dbpedia.org/resource/Huludao"
"China","461","Xia Geng","7.580 thousand","Qingdao","2.755 thousand","88","http://dbpedia.org/resource/Qingdao"
"Ghana","220","Alfred Vanderpuije","2.756 thousand","ACCRA","1.605 thousand","192","http://dbpedia.org/resource/Accra"
"China","462","Zhang Jiangfei","6.140 thousand","Changsha","2.744 thousand","89","http://dbpedia.org/resource/Changsha"
"Ghana","221","Samuel Sarpong","2.500 thousand","Kumasi","1.500 thousand","216","http://dbpedia.org/resource/Kumasi"
"China","463","Yuan Rongxiang","6.630 thousand","Fuzhou (Fujian)","2.710 thousand","91","http://dbpedia.org/resource/Fuzhou"
"Greece","222","Giorgos Kaminis","3.216 thousand","ATHENS","757 thousand","518","http://dbpedia.org/resource/Athens"
"China","464","Chen Baogen","4.480 thousand","Xian","2.670 thousand","93","http://dbpedia.org/resource/Xi'an"
"Greece","223","Vasilis Papageorgopoulos","798 thousand","Thessaloniki","407 thousand","n/r","http://dbpedia.org/resource/Thessaloniki"
"China","465","Ai Wenli","9.600 thousand","Shijiazhuang","2.630 thousand","97","http://dbpedia.org/resource/Shijiazhuang"
"Guatemala","224","Alvaro Arz�","2.564 thousand","GUATEMALA CITY","1.090 thousand","372","http://dbpedia.org/resource/Guatemala_City"
"China","466","Zhao Jiancai","4.510 thousand","Zhengzhou","2.600 thousand","99","http://dbpedia.org/resource/Zhengzhou"
"Guinea","225","Mamadou Wasco Camara",,"CONAKRY","1.931 thousand","145","http://dbpedia.org/resource/Conakry"
"China","467","Zhang Bingsheng","3.400 thousand","Taiyuan","2.550 thousand","103","http://dbpedia.org/resource/Taiyuan"
"Haiti","226","Jean Yves Jason","1.728 thousand","PORT-AU-PRINCE","1.083 thousand","376","http://dbpedia.org/resource/Port-au-Prince"
"China","468","Xiong Qinghua",,"Baoshan","2.500 thousand","109","http://dbpedia.org/resource/Baoshan._Yunnan"
"Honduras","227","Ricardo Alvarez","1.324 thousand","Tegucigalpa","1.200 thousand","326","http://dbpedia.org/resource/Tegucigalpa"
"China","469","n/k",,"Zhongshan","2.495 thousand","111","http://dbpedia.org/resource/Zhongshan"
"Hungary","228","Istv�n Tarl�s","2.503 thousand","BUDAPEST","1.712 thousand","175","http://dbpedia.org/resource/Budapest"
"India","229","Shraddha Jadhav","21.200 thousand","Mumbai (Bombay)","13.900 thousand","3","http://dbpedia.org/resource/Mumbai"
"China","470","Liu Cigui",,"Xiamen","2.490 thousand","112","http://dbpedia.org/resource/Xiamen"
"China","471","Zhang Tiemin",,"Chaoyang","2.471 thousand","113","http://dbpedia.org/resource/Chaoyang._Liaoning"
"India","230","Kanwar Sain","16.713 thousand","DELHI","12.100 thousand","5","http://dbpedia.org/resource/New_Delhi"
"China","472","Huang Fangfang","6.480 thousand","Nanning","2.450 thousand","115","http://dbpedia.org/resource/Nanning"
"India","231","SK Nataraj","6.562 thousand","Bangalore","5.840 thousand","33","http://dbpedia.org/resource/Bangalore"
"China","473","Yan Li","6.298 thousand","Suzhou","2.383 thousand","119","http://dbpedia.org/resource/Suzhou"
"India","232","Rajendra Desai","6.347 thousand","Surat","5.390 thousand","34","http://dbpedia.org/resource/Surat"
"China","474","Lian Chengmin","10.080 thousand","Linyi","2.300 thousand","123","http://dbpedia.org/resource/Linyi"
"India","233","Bikash Ranjan Bhattacharya","15.420 thousand","Kolkata","5.100 thousand","36","http://dbpedia.org/resource/Kolkata"
"China","475","Li Wancai","3.478 thousand","Dalian","2.270 thousand","124","http://dbpedia.org/resource/Dalian"
"India","234","M Subramaniam","7.330 thousand","Chennai","4.600 thousand","44","http://dbpedia.org/resource/Chennai"
"China","476","Mao Guanglie","5.600 thousand","Ningbo","2.201 thousand","130","http://dbpedia.org/resource/Ningbo"
"India","235","Kanaji Thakor","6.168 thousand","Ahmadabad","4.525 thousand","45","http://dbpedia.org/resource/Ahmedabad"
"China","477","Zhang Jinliang","3.300 thousand","Lanzhou","2.088 thousand","135","http://dbpedia.org/resource/Lanzhou"
"India","236","Banda Karthika Reddy","6.290 thousand","Hyderabad","3.637 thousand","60","http://dbpedia.org/resource/Hyderabad._Sindh"
"China","478","Wang Weicheng","3.570 thousand","Changzhou","2.086 thousand","136","http://dbpedia.org/resource/Changzhou"
"India","237","Mohansingh Rajpal","4.470 thousand","Pune","3.337 thousand","71","http://dbpedia.org/resource/Pune"
"China","479","Wong Kwok-keung","2.200 thousand","Kowloon","2.020 thousand","139","http://dbpedia.org/resource/Kowloon"
"India","238","Ravindra Patani","4.865 thousand","Kanpur","3.100 thousand","75","http://dbpedia.org/resource/Kanpur"
"India","239","Jyoti Khandelwal","5.690 thousand","Jaipur","3.050 thousand","78","http://dbpedia.org/resource/Jaipur"
"China","480","Zhang Guodong","7.100 thousand","Tangshan","1.980 thousand","142","http://dbpedia.org/resource/Tangshan"
"China","481","Zhang Xiaopei","4.523 thousand","Jilin","1.953 thousand","143","http://dbpedia.org/resource/Siping._Jilin"
"India","240","Dr Shiv Kumar Tamer",,"Durg","2.810 thousand","85","http://dbpedia.org/resource/Bhilai"
"China","482","Liu Hongjian","7.300 thousand","Nanchong","1.950 thousand","144","http://dbpedia.org/resource/Nanchong"
"India","241","Archana Dehankar",,"Nagpur","2.420 thousand","117","http://dbpedia.org/resource/Nagpur"
"China","483","Zhang Jianguo","2.444 thousand","Jinan","1.900 thousand","149","http://dbpedia.org/resource/Jinan"
"India","242","Dinesh Sharma","2.686 thousand","Lucknow","2.342 thousand","121","http://dbpedia.org/resource/Lucknow"
"China","484","n/k",,"Macheng","1.880 thousand","152","http://dbpedia.org/resource/Macheng"
"India","243","Krishna Murari Moghe","1.920 thousand","Indore","1.912 thousand","147","http://dbpedia.org/resource/Indore"
"China","485","Hu Xian","3.790 thousand","Nanchang","1.844 thousand","154","http://dbpedia.org/resource/Nanchang"
"India","244","GhanShyam Kumar","2.500 thousand","Patna","1.800 thousand","160","http://dbpedia.org/resource/Patna"
"China","486","Cao Xinping","9.410 thousand","Xuzhou","1.830 thousand","156","http://dbpedia.org/resource/Xuzhou"
"India","245","Anjula Singh Mahaur","1.800 thousand","Agra","1.650 thousand","184","http://dbpedia.org/resource/Agra"
"China","487","Ma Yi","2.700 thousand","Huzhou","1.800 thousand","159","http://dbpedia.org/resource/Huzhou"
"India","246","Nayana Gholap",,"Nashik","1.620 thousand","190","http://dbpedia.org/resource/Nashik"
"China","488","Tang Chengpei","5.600 thousand","Suzhou Anhui","1.800 thousand","161","http://dbpedia.org/resource/Suzhou._Anhui"
"India","247","Yogesh Behl",,"Pimpri Chinchwad","1.515 thousand","213","http://dbpedia.org/resource/Pimpri-Chinchwad"
"China","489","Jerla Isamudin","2.680 thousand","Urumqi","1.800 thousand","162","http://dbpedia.org/resource/%C3%9Cr%C3%BCmqi"
"India","248","Balakrishna Shukla","3.642 thousand","Vadodara","1.500 thousand","219","http://dbpedia.org/resource/Vadodara"
"India","249","Krishna Gaur","1.600 thousand","Bhopal","1.458 thousand","231","http://dbpedia.org/resource/Bhopal"
"China","490","Zhang Jiangting","6.500 thousand","Yantai","1.800 thousand","163","http://dbpedia.org/resource/Yantai"
"China","491","n/k",,"Tianmen","1.790 thousand","165","http://dbpedia.org/resource/Tianmen"
"India","250","n/k","4.400 thousand","Ludhiana","1.400 thousand","256","http://dbpedia.org/resource/Ludhiana"
"China","492","Cai Zong Ze","4.972 thousand","Shantou","1.770 thousand","167","http://dbpedia.org/resource/Shantou"
"India","251","Ashjok Vaity",,"Thane","1.375 thousand","268","http://dbpedia.org/resource/Thane"
"China","493","Wu Cunrong","4.867 thousand","Hefei","1.750 thousand","169","http://dbpedia.org/resource/Hefei"
"India","252","Kaushalendra Singh","3.150 thousand","Varanasi","1.375 thousand","269","http://dbpedia.org/resource/Varanasi"
"China","494","Du Yongguang",,"Tengzhou","1.750 thousand","170","http://dbpedia.org/resource/Tengzhou"
"India","253","Sandhya Vyas",,"Rajkot","1.336 thousand","283","http://dbpedia.org/resource/Rajkot"
"China","495","Mao Xiaoping","2.230 thousand","Wuxi","1.750 thousand","171","http://dbpedia.org/resource/Wuxi"
"India","254","Rama Khalkho",,"Ranchi","1.290 thousand","298","http://dbpedia.org/resource/Ranchi"
"China","496","Sun Yunfei",,"Fuyang","1.720 thousand","174","http://dbpedia.org/resource/Fuyang"
"India","255","n/k",,"Meerut","1.277 thousand","306","http://dbpedia.org/resource/Meerut"
"China","497","Li Hongyun",,"Suizhou","1.680 thousand","181","http://dbpedia.org/resource/Suizhou"
"India","256","Jitendr Nath Singh","1.250 thousand","Allahabad","1.215 thousand","320","http://dbpedia.org/resource/Allahabad"
"China","498","n/k",,"Gaozhou","1.650 thousand","185","http://dbpedia.org/resource/Gaozhou"
"India","257","Shawet Malik","1.300 thousand","Amritsar","1.195 thousand","329","http://dbpedia.org/resource/Amritsar"
"China","499","Li Hongfeng","5.500 thousand","Taian","1.650 thousand","186","http://dbpedia.org/resource/Tai'an"
"India","258","Vijaya Rahatkar",,"Aurangabad","1.168 thousand","339","http://dbpedia.org/resource/Aurangabad._Maharashtra"
"India","259","Aruna Vakase",,"Solapur","1.134 thousand","351","http://dbpedia.org/resource/Solapur"
"India","260","Thenmozhi Gopinathan",,"Madurai","1.130 thousand","355","http://dbpedia.org/resource/Madurai"
"India","261","Prabhat Sahu","1.150 thousand","Jabalpur","1.117 thousand","358","http://dbpedia.org/resource/Jabalpur"
"India","262","n/k","1.095 thousand","Mirat","1.095 thousand","370","http://dbpedia.org/resource/Meerut"
"India","263","n/k","1.200 thousand","Dhanbad","1.065 thousand","383","http://dbpedia.org/resource/Dhanbad"
"India","264","n/k","2.193 thousand","Faridabad","1.055 thousand","387","http://dbpedia.org/resource/Faridabad"
"India","265","Sri Gopal Mukherjee",,"Haora","1.008 thousand","406","http://dbpedia.org/resource/Howrah"
"India","266","Sri Gopal Mukherjee","1.020 thousand","Haora","1.008 thousand","407","http://dbpedia.org/resource/Howrah"
"India","267","Om Kumari Gehlot",,"Jodhpur","1.007 thousand","408","http://dbpedia.org/resource/Jodhpur"
"India","268","Damyanti Goel",,"Ghaziabad","970 thousand","420","http://dbpedia.org/resource/Ghaziabad._Uttar_Pradesh"
"India","269","B N Vishnu","1.330 thousand","Visakhapatnam","970 thousand","421","http://dbpedia.org/resource/Visakhapatnam"
"India","270","Ratna Bindu","1.150 thousand","Vijayawada","957 thousand","428","http://dbpedia.org/resource/Vijayawada"
"India","271","R.Venkatachalam","1.446 thousand","Coimbatore","931 thousand","433","http://dbpedia.org/resource/Coimbatore"
"India","272","Salman Sagar","1.050 thousand","Srinagar","915 thousand","440","http://dbpedia.org/resource/Srinagar"
"India","273","n/k",,"Chandigarh","901 thousand","449","http://dbpedia.org/resource/Chandigarh"
"India","274","n/k","890 thousand","Sholapur","890 thousand","455","http://dbpedia.org/resource/Solapur"
"India","275","C Jayan Babu","955 thousand","Thiruvananthapuram","810 thousand","488","http://dbpedia.org/resource/Thiruvananthapuram"
"India","276","Dolly Borah","820 thousand","Guwahati","808 thousand","492","http://dbpedia.org/resource/Guwahati"
"India","277","n/k","801 thousand","Hubli","801 thousand","498","http://dbpedia.org/resource/Hubli"
"India","278","Purushotham",,"Mysore","799 thousand","501","http://dbpedia.org/resource/Mysore"
"India","279","n/k","863 thousand","Tiruchchirappalli","760 thousand","517","http://dbpedia.org/resource/Tiruchirappalli"
"India","280","n/k","764 thousand","Jalandhar","714 thousand","532","http://dbpedia.org/resource/Jalandhar"
"India","281","Sameeksha Gupta","866 thousand","Gwalior","690 thousand","542","http://dbpedia.org/resource/Gwalior"
"India","282","n/k","1.116 thousand","Aligarh","680 thousand","549","http://dbpedia.org/resource/Aligarh._Uttar_Pradesh"
"India","283","n/k","1.031 thousand","Amravati","678 thousand","552","http://dbpedia.org/resource/Amravati"
"India","284","n/k","1.455 thousand","Bhubaneswar","659 thousand","559","http://dbpedia.org/resource/Bhubaneswar"
"India","285","n/k","1.135 thousand","Jamshedpur","630 thousand","563","http://dbpedia.org/resource/Jamshedpur"
"India","286","n/k","942 thousand","Bhilai","564 thousand","583","http://dbpedia.org/resource/Bhilai"
"India","287","M. Bhaskaran",,"Kozhikode","437 thousand","n/r","http://dbpedia.org/resource/Kozhikode"
"Indonesia","288","Fauzi Bowo","24.100 thousand","JAKARTA","10.100 thousand","11","http://dbpedia.org/resource/Jakarta"
"Indonesia","289","Bambang D H","3.700 thousand","Surabaya","3.100 thousand","77","http://dbpedia.org/resource/Surabaya"
"Indonesia","290","Dada Rosada","3.829 thousand","Bandung","2.510 thousand","106","http://dbpedia.org/resource/Bandung"
"Indonesia","291","Rahudman Harahap","2.390 thousand","Medan","1.990 thousand","141","http://dbpedia.org/resource/Medan"
"Indonesia","292","Eddy Santana Putra",,"Palembang","1.600 thousand","195","http://dbpedia.org/resource/Palembang"
"Indonesia","293","Wahidin Halim",,"Tangerang","1.545 thousand","203","http://dbpedia.org/resource/Tangerang"
"Indonesia","294","Soemarmo HS","1.400 thousand","Semarang","1.393 thousand","259","http://dbpedia.org/resource/Semarang"
"Indonesia","295","n/k","1.254 thousand","Ujung Pandang","1.170 thousand","338","http://dbpedia.org/resource/Makassar"
"Indonesia","296","Ilham Arief Sirajuddin",,"Makasar","1.113 thousand","360","http://dbpedia.org/resource/Makassar"
"Indonesia","297","Diani Budiarto",,"Bogor","866 thousand","460","http://dbpedia.org/resource/Bogor"
"Indonesia","298","Fauzi Bahar","900 thousand","Padang","820 thousand","481","http://dbpedia.org/resource/Padang"
"Indonesia","299","n/k","1.123 thousand","Bandar Lampung","743 thousand","522","http://dbpedia.org/resource/Bandar_Lampung"
"China","700","n/k","7.000 thousand","Hengyang","880 thousand","456","http://dbpedia.org/resource/Hengyang"
"China","701","n/k","799 thousand","Hengyang","561 thousand","584","http://dbpedia.org/resource/Hengyang"
"China","702","Du Changwen",,"Heze","1.280 thousand","303","http://dbpedia.org/resource/Heze"
"China","703","n/k","2.090 thousand","Hezhou","990 thousand","415","http://dbpedia.org/resource/Linxia_City"
"Syria","704","Nadia Kseibi",,"Hims","823 thousand","476","http://dbpedia.org/resource/Homs"
"Japan","705","Tadatoshi Akiba","1.700 thousand","Hiroshima","1.174 thousand","336","http://dbpedia.org/resource/Hiroshima"
"Vietnam","706","Pham Phuong Thao",,"Ho Chi Minh City","7.100 thousand","26","http://dbpedia.org/resource/Ho_Chi_Minh_City"
"China","707","n/k","1.041 thousand","Hohhot","820 thousand","480","http://dbpedia.org/resource/Hohhot"
"China","708","Donald Tsang",,"Hong Kong","7.055 thousand","27","http://dbpedia.org/resource/Hong_Kong"
"China","709","n/k",,"Honghu","880 thousand","457","http://dbpedia.org/resource/Honghu"
"USA","710","Peter Carlisle","894 thousand","Honolulu","370 thousand","n/r","http://dbpedia.org/resource/Honolulu_County._Hawaii"
"USA","711","Annise Parker","5.728 thousand","Houston","2.242 thousand","126","http://dbpedia.org/resource/Houston"
"China","712","Cao Yong",,"Huainan","1.201 thousand","321","http://dbpedia.org/resource/Huainan"
"China","713","n/k",,"Huazhou","1.420 thousand","246","http://dbpedia.org/resource/Huazhou._Guangdong"
"India","714","n/k","801 thousand","Hubli","801 thousand","498","http://dbpedia.org/resource/Hubli"
"China","715","Sun Zhaolin",,"Huludao","2.787 thousand","86","http://dbpedia.org/resource/Huludao"
"China","716","Ma Yi","2.700 thousand","Huzhou","1.800 thousand","159","http://dbpedia.org/resource/Huzhou"
"India","717","Banda Karthika Reddy","6.290 thousand","Hyderabad","3.637 thousand","60","http://dbpedia.org/resource/Hyderabad._Sindh"
"Pakistan","718","Kanwar Naveed Jamil","1.500 thousand","Hyderabad","1.447 thousand","237","http://dbpedia.org/resource/Hyderabad._Sindh"
"Nigeria","719","Adebayo Alao-Akala","3.000 thousand","Ibadan","2.550 thousand","102","http://dbpedia.org/resource/Ibadan"
"South Korea","720","Song Young-gil","2.630 thousand","Incheon","2.630 thousand","96","http://dbpedia.org/resource/Incheon"
"USA","721","Gregory A. Ballard","1.715 thousand","Indianapolis","798 thousand","502","http://dbpedia.org/resource/Indianapolis"
"India","722","Krishna Murari Moghe","1.920 thousand","Indore","1.912 thousand","147","http://dbpedia.org/resource/Indore"
"Iraq","723","n/k","1.5000 thousand","Irbil","1.294 thousand","295","http://dbpedia.org/resource/Erbil"
"Turkey","724","Kadir Topbas","12.600 thousand","Istanbul","9.560 thousand","12","http://dbpedia.org/resource/Istanbul"
"Turkey","725","Aziz Kocaoglu","3.200 thousand","Izmir","2.330 thousand","122","http://dbpedia.org/resource/%C4%B0zmir"
"India","726","Prabhat Sahu","1.150 thousand","Jabalpur","1.117 thousand","358","http://dbpedia.org/resource/Jabalpur"
"USA","727","John Peyton","1.300 thousand","Jacksonville","808 thousand","493","http://dbpedia.org/resource/Jacksonville._Florida"
"India","728","Jyoti Khandelwal","5.690 thousand","Jaipur","3.050 thousand","78","http://dbpedia.org/resource/Jaipur"
"Indonesia","729","Fauzi Bowo","24.100 thousand","JAKARTA","10.100 thousand","11","http://dbpedia.org/resource/Jakarta"
"India","730","n/k","764 thousand","Jalandhar","714 thousand","532","http://dbpedia.org/resource/Jalandhar"
"India","731","n/k","1.135 thousand","Jamshedpur","630 thousand","563","http://dbpedia.org/resource/Jamshedpur"
"Saudi Arabia","732","Adil Faqeeh","4.500 thousand","Jeddah","3.856 thousand","54","http://dbpedia.org/resource/Jeddah"
"Israel","733","Nir Barkat Nazareth","1.029 thousand","Jerusalem","764 thousand","514","http://dbpedia.org/resource/Jerusalem"
"China","734","n/k",,"Jiangdu","1.053 thousand","388","http://dbpedia.org/resource/Jiangdu_District"
"China","735","n/k",,"Jianyang","1.430 thousand","241","http://dbpedia.org/resource/Jianyang._Fujian"
"China","736","Zhang Xiaopei","4.523 thousand","Jilin","1.953 thousand","143","http://dbpedia.org/resource/Siping._Jilin"
"China","737","n/k",,"Jimo","1.112 thousand","361","http://dbpedia.org/resource/Jupiter_Icy_Moons_Orbiter"
"China","738","Zhang Jianguo","2.444 thousand","Jinan","1.900 thousand","149","http://dbpedia.org/resource/Jinan"
"China","739","Zhang Zhen Chuan",,"Jining","1.110 thousand","362","http://dbpedia.org/resource/Jining"
"China","740","Kenneth Li",,"Jinjiang","1.350 thousand","277","http://dbpedia.org/resource/Jinjiang._Fujian"
"China","741","n/k","902 thousand","Jinzhou","690 thousand","543","http://dbpedia.org/resource/Jinzhou"
"China","500","Li Wenqing","3.450 thousand","Tianshui","1.630 thousand","188","http://dbpedia.org/resource/Tianshui"
"China","742","Zhu. Deyi","1.960 thousand","Jixi","760 thousand","516","http://dbpedia.org/resource/Jixi"
"China","501","Tao Minglun","8.220 thousand","Shangqiu","1.610 thousand","191","http://dbpedia.org/resource/Shangqiu"
"Brazil","743","Ricardo Coutinho","984 thousand","Joao Pessoa","702 thousand","538","http://dbpedia.org/resource/Jo%C3%A3o_Pessoa._Para%C3%ADba"
"China","502","n/k",,"Neijiang","1.560 thousand","201","http://dbpedia.org/resource/Neijiang"
"India","744","Om Kumari Gehlot",,"Jodhpur","1.007 thousand","408","http://dbpedia.org/resource/Jodhpur"
"China","503","n/k",,"Hechuan","1.530 thousand","207","http://dbpedia.org/resource/Hechuan_District"
"South Africa","745","Amos Masondo","10.268 thousand","Johannesburg","3.888 thousand","53","http://dbpedia.org/resource/Johannesburg"
"China","504","Wu Weirong","5.741 thousand","Taizhou","1.528 thousand","210","http://dbpedia.org/resource/Taizhou._Zhejiang"
"Afghanistan","746","Mohammad Yunus Noandesh","4.000 thousand","KABUL","3.586 thousand","64","http://dbpedia.org/resource/Kabul"
"China","505","n/k","4.400 thousand","Guigang","1.500 thousand","215","http://dbpedia.org/resource/Guigang"
"Nigeria","747","Mohammed Namadi Sambo","1.500 thousand","Kaduna","1.460 thousand","229","http://dbpedia.org/resource/Kaduna"
"China","506","Guo Hongchang","1.499 thousand","Luoyang","1.500 thousand","217","http://dbpedia.org/resource/Luoyang"
"China","748","n/k","855 thousand","Kaifeng","584 thousand","574","http://dbpedia.org/resource/Kaifeng"
"China","507","Zhu Ming","7.790 thousand","Quanzhou","1.490 thousand","220","http://dbpedia.org/resource/Quanzhou"
"Uganda","749","Nasser Sebaggala","1.600 thousand","KAMPALA","1.420 thousand","247","http://dbpedia.org/resource/Kampala"
"China","508","Chen Law",,"Nanan","1.480 thousand","224","http://dbpedia.org/page/Nan%27an._Fujian"
"China","509","Liu Daqun",,"Xintai","1.480 thousand","223","http://dbpedia.org/resource/Xintai"
"Nigeria","750","Ibrahim Shekarau","3.900 thousand","Kano","3.626 thousand","62","http://dbpedia.org/resource/Kano"
"India","751","Ravindra Patani","4.865 thousand","Kanpur","3.100 thousand","75","http://dbpedia.org/resource/Kanpur"
"China","510","Guo Ruimin",,"Xinyang","1.460 thousand","230","http://dbpedia.org/resource/Xinyang"
"USA","752","Mark Funkhouser","2.050 thousand","Kansas City","480 thousand","n/r","http://dbpedia.org/resource/Kansas_City._Missouri"
"China","511","Ding Dawei",,"Rugao","1.453 thousand","232","http://dbpedia.org/resource/Rugao"
"Taiwan","753","Chen Chu","2.960 thousand","Kaohsiung","1.530 thousand","208","http://dbpedia.org/resource/Kaohsiung"
"China","512","Zhang Xiaodong","3.000 thousand","Anyang","1.450 thousand","233","http://dbpedia.org/resource/Anyang"
"Pakistan","754","Fazlur Rehman","18.000 thousand","Karachi","15.500 thousand","1","http://dbpedia.org/resource/Karachi"
"China","513","Xu Liquan","8.500 thousand","Weifang","1.450 thousand","235","http://dbpedia.org/resource/Weifang"
"Iran","755","n/k",,"Karaj","1.380 thousand","264","http://dbpedia.org/resource/Karaj"
"China","514","Ruan Risheng","6.900 thousand","Zhanjiang","1.450 thousand","236","http://dbpedia.org/resource/Zhanjiang"
"Germany","756","Heinz Fenrich",,"Karlsruhe","291 thousand","n/r","http://dbpedia.org/resource/Karlsruhe"
"China","515","Wang Yang","2.300 thousand","Fushun","1.445 thousand","238","http://dbpedia.org/resource/Fushun"
