"[0] de.uni_mannheim.informatik.dws.winter.usecase.movies.identityresolution.MovieTitleComparatorEqual","[1] de.uni_mannheim.informatik.dws.winter.usecase.movies.identityresolution.MovieDateComparator2Years","[2] de.uni_mannheim.informatik.dws.winter.usecase.movies.identityresolution.MovieDateComparator10Years","[3] de.uni_mannheim.informatik.dws.winter.usecase.movies.identityresolution.MovieDirectorComparatorJaccard","[4] de.uni_mannheim.informatik.dws.winter.usecase.movies.identityresolution.MovieDirectorComparatorLevenshtein","[5] de.uni_mannheim.informatik.dws.winter.usecase.movies.identityresolution.MovieDirectorComparatorLowerCaseJaccard","[6] de.uni_mannheim.informatik.dws.winter.usecase.movies.identityresolution.MovieTitleComparatorLevenshtein","[7] de.uni_mannheim.informatik.dws.winter.usecase.movies.identityresolution.MovieTitleComparatorJaccard","label"
"1.0","0.5","0.9","0.0","0.0","0.0","1.0","1.0","1"
"1.0","0.0","0.8","0.0","0.0","0.0","1.0","1.0","1"
"0.0","1.0","1.0","0.0","0.0","0.0","0.42105263157894735","0.14285714285714285","0"
"1.0","0.5","0.9","0.0","0.0","0.0","1.0","1.0","1"
"1.0","0.5","0.9","0.0","0.0","0.0","1.0","1.0","1"
"0.0","0.5","0.9","0.0","0.0","0.0","0.8095238095238095","0.75","1"
"0.0","0.5","0.9","0.0","0.0","0.0","0.967741935483871","0.75","1"
"0.0","1.0","1.0","0.0","0.0","0.0","0.4444444444444444","0.16666666666666666","0"
"0.0","1.0","1.0","0.0","0.0","0.0","0.38888888888888884","0.16666666666666666","0"
"0.0","1.0","1.0","0.0","0.0","0.0","0.4","0.3333333333333333","0"
"1.0","0.5","0.9","0.0","0.0","0.0","1.0","1.0","1"
"0.0","0.5","0.9","0.0","0.0","0.0","0.47619047619047616","0.2857142857142857","0"
"1.0","0.5","0.9","0.0","0.0","0.0","1.0","1.0","1"
"1.0","1.0","1.0","0.0","0.0","0.0","1.0","1.0","1"
"1.0","0.0","0.8","0.0","0.0","0.0","1.0","1.0","1"
"1.0","0.5","0.9","0.0","0.0","0.0","1.0","1.0","1"
"1.0","0.5","0.9","0.0","0.0","0.0","1.0","1.0","1"
"0.0","0.0","0.7","0.0","0.0","0.0","0.5263157894736843","0.4","0"
"1.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0"
"0.0","0.0","0.4","0.0","0.0","0.0","0.6666666666666667","0.3333333333333333","0"
"0.0","0.0","0.0","0.0","0.0","0.0","0.6666666666666667","0.3333333333333333","0"
"0.0","0.0","0.0","0.0","0.0","0.0","0.7272727272727273","0.3333333333333333","0"
"1.0","0.5","0.9","0.0","0.0","0.0","1.0","1.0","1"
"0.0","0.5","0.9","0.0","0.0","0.0","0.8888888888888888","0.5","1"
"0.0","0.0","0.0","0.0","0.0","0.0","0.6470588235294117","0.3333333333333333","0"
"0.0","0.0","0.0","0.0","0.0","0.0","0.631578947368421","0.3333333333333333","0"
"0.0","1.0","1.0","0.0","0.0","0.0","0.4545454545454546","0.0","0"
"1.0","0.5","0.9","0.0","0.0","0.0","1.0","1.0","1"
"0.0","1.0","1.0","0.0","0.0","0.0","0.41666666666666663","0.125","0"
"0.0","0.5","0.9","0.0","0.0","0.0","1.0","1.0","1"
"0.0","0.0","0.0","0.0","0.0","0.0","0.6956521739130435","0.6666666666666666","0"
"0.0","0.0","0.7","0.0","0.0","0.0","0.5789473684210527","0.2857142857142857","0"
"0.0","0.5","0.9","0.0","0.0","0.0","0.9523809523809523","0.5","1"
"0.0","1.0","1.0","0.0","0.0","0.0","0.5","0.0","0"
"1.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0"
"1.0","0.5","0.9","0.0","0.0","0.0","1.0","1.0","1"
"1.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0"
"1.0","0.5","0.9","0.0","0.0","0.0","1.0","1.0","1"
"1.0","0.5","0.9","0.0","0.0","0.0","1.0","1.0","1"
"1.0","0.5","0.9","0.0","0.0","0.0","1.0","1.0","1"
"0.0","1.0","1.0","0.0","0.0","0.0","0.375","0.2","0"
"1.0","0.5","0.9","0.0","0.0","0.0","1.0","1.0","1"
"0.0","0.5","0.9","0.0","0.0","0.0","0.4666666666666667","0.2","0"
"1.0","0.5","0.9","0.0","0.0","0.0","1.0","1.0","1"
"0.0","0.5","0.9","0.0","0.0","0.0","0.5714285714285714","0.0","0"
"1.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0"
"1.0","0.5","0.9","0.0","0.0","0.0","1.0","1.0","1"
"0.0","0.0","0.8","0.0","0.0","0.0","0.6153846153846154","0.5","0"
"1.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0"
"0.0","0.5","0.9","0.0","0.0","0.0","0.9333333333333333","1.0","1"
"1.0","0.0","0.8","0.0","0.0","0.0","1.0","1.0","1"
"0.0","0.5","0.9","0.0","0.0","0.0","0.935483870967742","0.7142857142857143","1"
"0.0","0.0","0.7","0.0","0.0","0.0","0.5882352941176471","0.3333333333333333","0"
"1.0","0.5","0.9","0.0","0.0","0.0","1.0","1.0","1"
"1.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0"
"1.0","0.5","0.9","0.0","0.0","0.0","1.0","1.0","1"
"0.0","0.5","0.9","0.0","0.0","0.0","0.9523809523809523","1.0","1"
"0.0","0.5","0.9","0.0","0.0","0.0","0.9523809523809523","1.0","1"
"1.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0"
"1.0","0.0","0.8","0.0","0.0","0.0","1.0","1.0","1"
"1.0","0.0","0.8","0.0","0.0","0.0","1.0","1.0","1"
"1.0","0.5","0.9","0.0","0.0","0.0","1.0","1.0","1"
"0.0","0.5","0.9","0.0","0.0","0.0","0.7777777777777778","0.3333333333333333","1"
"1.0","0.5","0.9","0.0","0.0","0.0","1.0","1.0","1"
"1.0","0.0","0.8","0.0","0.0","0.0","1.0","1.0","1"
"1.0","0.5","0.9","0.0","0.0","0.0","1.0","1.0","1"
"1.0","0.5","0.9","0.0","0.0","0.0","1.0","1.0","1"
"1.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0"
"0.0","0.5","0.9","0.0","0.0","0.0","0.9032258064516129","0.5555555555555556","1"
"0.0","0.5","0.9","0.0","0.0","0.0","0.4285714285714286","0.0","0"
"0.0","0.5","0.9","0.0","0.0","0.0","0.9642857142857143","1.0","1"
"1.0","0.0","0.8","0.0","0.0","0.0","1.0","1.0","1"
"0.0","0.0","0.8","0.0","0.0","0.0","0.5555555555555556","0.25","0"
"0.0","0.0","0.0","0.0","0.0","0.0","0.7272727272727273","0.3333333333333333","0"
"0.0","0.0","0.0","0.0","0.0","0.0","0.631578947368421","0.2857142857142857","0"
"0.0","1.0","1.0","0.0","0.0","0.0","0.5333333333333333","0.0","0"
"0.0","0.5","0.9","0.0","0.0","0.0","0.9166666666666666","0.3333333333333333","1"
"1.0","0.5","0.9","0.0","0.0","0.0","1.0","1.0","1"
"1.0","0.0","0.8","0.0","0.0","0.0","1.0","1.0","1"
"0.0","1.0","1.0","0.0","0.0","0.0","0.4","0.0","0"
"0.0","0.0","0.0","0.0","0.0","0.0","0.6428571428571428","0.4","0"
"1.0","0.0","0.8","0.0","0.0","0.0","1.0","1.0","1"
"0.0","0.5","0.9","0.0","0.0","0.0","0.935483870967742","1.0","1"
"1.0","0.0","0.8","0.0","0.0","0.0","1.0","1.0","1"
"0.0","1.0","1.0","0.0","0.0","0.0","0.5714285714285714","0.3333333333333333","0"
