"id","film title","production studio","genre","cost","earned","dir.","released"
"greatest_scifi5","The Wizard of Oz",,,"0.0","0.0","Victor Fleming","1939-01-01T00:00:00.000+01:00"
"greatest_scifi4","Alien",,,"0.0","0.0","Ridley Scott","1979-01-01T00:00:00.000+01:00"
"greatest_scifi3","Blade Runner",,,"0.0","0.0","Ridley Scott","1982-01-01T00:00:00.000+01:00"
"greatest_scifi2","Metropolis",,,"0.0","0.0","Fritz Lang","1927-01-01T00:00:00.000+01:00"
"greatest_scifi1","2001",,,"0.0","0.0","Stanley Kubrick","1968-01-01T00:00:00.000+01:00"
"greatest_scifi24","Panâ€™s Labyrinth",,,"0.0","0.0","Guillermo del Toro","2006-01-01T00:00:00.000+01:00"
"greatest_scifi25","Starship Troopers",,,"0.0","0.0","Paul Verhoeven","1997-01-01T00:00:00.000+01:00"
"greatest_scifi20","Day the Earth Stood Still",,,"0.0","0.0","Robert Wise","1951-01-01T00:00:00.000+01:00"
"greatest_scifi21","Edward Scissorhands",,,"0.0","0.0","Tim Burton","1990-01-01T00:00:00.000+01:00"
"greatest_scifi22","Akira",,,"0.0","0.0","Katsuhiro Otomo","1988-01-01T00:00:00.000+01:00"
"greatest_scifi23","Princess Bride",,,"0.0","0.0","Rob reiner","1987-01-01T00:00:00.000+01:00"
"greatest_scifi13","The Matrix",,,"0.0","0.0","Andy & Larry Wachowski","1999-01-01T00:00:00.000+01:00"
"greatest_scifi14","Alphaville",,,"0.0","0.0","Jean Luc-Godard","1965-01-01T00:00:00.000+01:00"
"greatest_scifi15","Back to the Future",,,"0.0","0.0","Robert Zemeckis","1985-01-01T00:00:00.000+01:00"
"greatest_scifi16","Planet of the Apes",,,"0.0","0.0","Franklin J Schaffner","1968-01-01T00:00:00.000+01:00"
"greatest_scifi17","Brazil",,,"0.0","0.0","Terry Gilliam","1985-01-01T00:00:00.000+01:00"
"greatest_scifi18","The Lord of the Rings trilogy",,,"0.0","0.0","Peter Jackson","2001-01-01T00:00:00.000+01:00"
"greatest_scifi19","Dark Star",,,"0.0","0.0","John Carpenter","1974-01-01T00:00:00.000+01:00"
"greatest_scifi9","Star Wars  (1977)",,,"0.0","0.0","George Lucas","1977-01-01T00:00:00.000+01:00"
"greatest_scifi8","Spirited Away",,,"0.0","0.0","Hayao Miyazaki","2001-01-01T00:00:00.000+01:00"
